Year,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,HBP,SH,SF,IBB
2019,25,162,476,68,121,25,3,19,63,8,3,43,126,8,5,2,3,2
2019,30,162,434,62,110,22,2,18,59,6,2,41,112,9,5,2,3,2
2019,35,162,418,56,104,21,1,16,56,4,1,43,102,10,5,2,3,2
2019,36,162,454,61,111,23,0,19,62,3,1,47,111,12,6,1,3,2
2018,25,162,451,62,112,24,3,16,57,8,3,44,120,8,5,2,3,3
2018,30,162,436,57,109,22,2,15,54,6,3,39,108,9,5,2,3,2
2018,35,162,429,54,105,21,2,13,53,5,2,43,102,10,5,2,3,2
2018,36,162,421,52,104,20,1,14,52,5,2,42,85,10,5,1,4,2
2017,25,162,458,63,116,23,3,17,60,8,3,42,119,10,4,3,3,3
2017,30,162,430,59,111,22,2,16,57,7,3,40,104,10,5,2,3,2
2017,35,162,451,61,115,23,2,16,57,5,2,47,102,11,5,2,3,3
2017,36,162,422,55,102,20,1,15,55,5,2,42,93,12,5,2,3,2